NAV-HEADER;Artikelen;;;;;;;;6319744;43;223;30793
NAV-ITEM;Artikelen;Artikelen;;;;;;;7309207;47;243;4219
BUTTON;Artikelen;Artikelen;;;btn_export;dd_prod_dd_prod_product_lst_frm;;;12240342;522;165;13623;FALSE
BUTTON;Artikelen;Artikelen;;;btn_print;dd_prod_dd_prod_product_lst_frm;;;12240342;622;165;18295;FALSE
BUTTON;Artikelen;Artikelen;;;btn_export;dd_prod_dd_prod_product_pan;;;12240342;522;165;34736;FALSE
BUTTON;Artikelen;Artikelen;;;btn_print;dd_prod_dd_prod_product_pan;;;12240342;622;165;18353;FALSE
BUTTON;Artikelen;Artikelen;;;btn_duplicate;dd_prod_dd_prod_product_pan;;;12240342;722;165;11313;FALSE
BUTTON;Artikelen;Artikelen;;;btn_stamdata;dd_prod_dd_prod_product_pan;;;12240342;922;165;42012;FALSE
TAB;Artikelen;Artikelen;Voorraad;;;dd_prod_dd_prod_product_frm1;2;16;15922422;322;521;51339;FALSE
TAB;Artikelen;Artikelen;Prijzen;;;dd_prod_dd_prod_product_frm1;3;16;15922422;402;521;62570;FALSE
TAB;Artikelen;Artikelen;Historie;;;dd_prod_dd_prod_product_frm1;4;16;15922422;442;521;47600;FALSE
TAB;Artikelen;Artikelen;Inomloop;;;dd_prod_dd_prod_product_frm1;5;16;15922422;522;521;44895;FALSE
TAB;Artikelen;Artikelen;Inkoop;;;dd_prod_dd_prod_product_frm1;6;16;15922422;602;521;39617;FALSE
TAB;Artikelen;Artikelen;Verkopen;;;dd_prod_dd_prod_product_frm1;7;16;15922422;642;521;41934;FALSE
TAB;Artikelen;Artikelen;Online;;;dd_prod_dd_prod_product_frm1;8;16;15922422;722;521;73383;FALSE
BUTTON;Artikelen;Artikelen;Online;;btn_new_single;dd_prod_dd_prod_product_online_info_frm;8;16;14146273;252;566;12246;FALSE
TAB;Artikelen;Artikelen;Leverancier;;;dd_prod_dd_prod_product_frm1;9;16;15922422;762;521;39950;FALSE
BUTTON;Artikelen;Artikelen;Leverancier;;btn_new_single;dd_prod_dd_prod_supplier_tbl;9;16;14212065;252;566;12286;FALSE
TAB;Artikelen;Artikelen;Logistiek;;;dd_prod_dd_prod_product_frm1;10;16;15922422;882;521;67469;FALSE
BUTTON;Artikelen;Artikelen;Logistiek;;btn_new_single;dd_htb_dd_htb_product_info_frm;10;16;14146273;252;566;12250;FALSE
TAB;Artikelen;Artikelen;Alternatiefartikel;;;dd_prod_dd_prod_product_frm1;11;16;15922422;922;521;39967;FALSE
TAB;Artikelen;Artikelen;EAN;;;dd_prod_dd_prod_product_frm1;12;16;15922422;1042;521;55823;FALSE
BUTTON;Artikelen;Artikelen;EAN;;btn_new_single;dd_prod_dd_prod_ean_tbl;12;16;14212065;252;566;12238;FALSE
TAB;Artikelen;Artikelen;Klantspecifiek;;;dd_prod_dd_prod_product_frm1;14;16;15922422;1202;521;71336;FALSE
BUTTON;Artikelen;Artikelen;Klantspecifiek;;btn_new;dd_prod_dd_prod_specific_customer_tbl;14;16;14212065;252;566;12296;FALSE
TAB;Artikelen;Artikelen;Bypass;;;dd_prod_dd_prod_product_frm1;15;16;15922422;1282;521;58221;FALSE
BUTTON;Artikelen;Artikelen;Bypass;;btn_new;dd_prod_dd_prod_bypass_tbl;15;16;14212065;252;566;12255;FALSE
TAB;Artikelen;Artikelen;Documentatie;;;dd_prod_dd_prod_product_frm1;16;16;15922422;1362;521;58218;FALSE
NAV-ITEM;Artikelen;EAN;;;;;;;11514548;47;263;50649
BUTTON;Artikelen;EAN;;;btn_export;dd_prod_dd_prod_ean_lst_frm;;;12240342;522;165;11711;FALSE
BUTTON;Artikelen;EAN;;;btn_print;dd_prod_dd_prod_ean_lst_frm;;;12240342;622;165;18336;FALSE
NAV-ITEM;Artikelen;Voorraadlocatie;;;;;;;10071224;47;283;29152
BUTTON;Artikelen;Voorraadlocatie;;;btn_export;dd_prod_dd_prod_batch_scanning_lst_frm;;;12240342;522;165;10248;FALSE
BUTTON;Artikelen;Voorraadlocatie;;;btn_print;dd_prod_dd_prod_batch_scanning_lst_frm;;;12240342;622;165;18277;FALSE
NAV-HEADER;Voorraadbeheer;;;;;;;;16579836;47;303;26974
NAV-ITEM;Voorraadbeheer;Artikelenvoorraad;;;;;;;7309207;47;323;4221
BUTTON;Voorraadbeheer;Artikelenvoorraad;;;btn_export;dd_stock_dd_stock_prod_product_link_lst_frm;;;12240342;522;165;13300;FALSE
