NAV-HEADER;Verkopen;;;;;;;;8088959;42;676;1290;FALSE
NAV-ITEM;Verkopen;Bestellingen;;;;;;;9801908;80;700;1288;FALSE
BUTTON;Verkopen;Bestellingen;;;btn_new_single;dd_sale_dd_sale_order_lst_frm;;;10332603;691;58;1297;FALSE
FIELD;Verkopen;Bestellingen;;;fld_inputField_tab_cust;dd_sale_dd_sale_order_new_dlg_frm_wiz1;;;16777215;771;357;1287;EDIT
LABEL;Verkopen;Bestellingen;;;BTN_quickSearch;;;;16579836;915;358;1309;COMBOBOX
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;16777215;452;262;1292;FALSE
KEY;Verkopen;Bestellingen;;;onbekend;BACKSPACE;;;16777215;452;262;770;FALSE
INPUT;Verkopen;Bestellingen;;;onbekend;testklant;;;7253247;452;262;780;FALSE
KEY;Verkopen;Bestellingen;;;onbekend;ENTER;;;7253247;452;262;783;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;11128314;478;334;1280;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;16777215;936;795;1271;FALSE
FIELD;Verkopen;Bestellingen;;;fld_pick_up_chk;dd_sale_dd_sale_order_new_dlg_frm_wiz1;;;7368817;716;470;1279;EDIT
BUTTON;Verkopen;Bestellingen;;;btn_forward;dd_sale_dd_sale_order_new_dlg_frm_wiz1;;;14869738;661;302;1295;FALSE
FIELD;Verkopen;Bestellingen;;;fld_inputField_tab_prod;dd_sale_dd_sale_order_new_dlg_lst_frm;;;16777215;603;556;1284;EDIT
INPUT;Verkopen;Bestellingen;;;fld_inputField_tab_prod;011030496;;;7253247;603;556;768;FALSE
KEY;Verkopen;Bestellingen;;;fld_inputField_tab_prod;ENTER;;;7253247;603;556;780;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;13816987;776;308;1288;FALSE
SLUIT;71;107
